Participant,EPVQ_01,EPVQ_02,EPVQ_03,EPVQ_04,EPVQ_05,EPVQ_06,EPVQ_07,EPVQ_08,EPVQ_09,EPVQ_10,EPVQ_11,EPVQ_12,EPVQ_13,EPVQ_14,EPVQ_15,EPVQ_16,EPVQ_17
test_user,7,7,6,7,7,6,7,6,6,6,7,6,1,1,4,4,6
test_user,6,6,6,5,7,6,7,7,6,6,6,7,5,6,7,6,7
test_user,6,7,6,5,7,6,7,7,6,6,7,7,1,2,6,5,7
test_user,7,7,7,7,7,6,7,7,7,5,6,5,1,1,2,2,3
test_user,5,6,6,5,4,6,4,5,5,6,6,7,3,4,6,3,7
test_user,4,5,6,2,6,5,7,5,6,6,5,7,1,1,6,2,6
test_user,5,6,6,5,6,6,7,6,6,6,5,5,1,1,2,4,4
test_user,7,7,7,7,7,7,7,7,7,7,7,7,1,1,5,5,6
test_user,6,6,5,6,7,6,7,5,5,6,6,6,1,1,3,4,5
test_user,5,5,1,5,6,6,6,6,6,7,7,7,3,2,5,5,7
test_user,5,4,5,1,5,3,6,7,7,5,7,7,4,4,7,5,7
test_user,6,6,5,4,6,5,6,6,5,5,6,7,4,4,5,5,6
test_user,5,5,6,2,7,6,5,3,7,6,7,6,1,2,6,7,6
test_user,6,7,7,6,7,7,7,7,7,7,7,7,3,3,5,5,7
test_user,5,5,6,4,7,5,7,7,4,5,6,7,3,1,5,5,7
test_user,6,6,2,4,6,6,7,6,6,6,4,6,2,2,6,5,5
test_user,7,7,7,7,7,7,7,7,7,7,6,7,1,1,7,3,7
test_user,6,6,4,6,7,6,7,6,6,6,7,5,1,1,5,6,7
test_user,7,7,7,7,7,6,7,7,6,6,6,7,4,4,4,4,6
test_user,5,6,5,7,6,6,7,7,5,6,5,5,2,2,1,2,3
test_user,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,4
test_user,7,7,7,6,7,7,7,7,7,7,7,7,3,4,7,7,7
test_user,7,6,7,6,6,6,7,6,7,6,6,6,5,6,6,6,6
test_user,7,7,6,6,5,6,5,7,5,5,5,5,5,4,6,5,7
test_user,7,7,7,6,7,7,7,6,7,7,6,5,1,1,7,5,7
test_user,7,7,5,7,7,7,7,7,5,7,6,7,2,2,5,4,6
test_user,7,7,7,7,7,7,7,7,7,7,7,7,4,3,5,4,5
test_user,7,7,7,7,7,7,7,7,7,7,7,7,2,4,7,7,7
test_user,7,7,6,6,7,6,7,7,6,5,4,5,2,2,3,5,5
test_user,5,7,6,6,7,6,7,7,7,6,7,6,1,1,5,4,4
test_user,7,7,5,3,7,6,6,7,6,5,5,6,2,3,5,2,5
test_user,7,7,5,6,7,7,7,7,7,7,6,7,1,3,6,5,7
test_user,5,5,5,5,6,5,5,5,5,5,4,6,3,3,3,2,4
test_user,7,7,7,6,6,6,5,7,4,6,7,5,6,7,4,5,4
test_user,6,7,6,6,7,6,6,7,7,7,6,7,2,2,4,5,6
test_user,6,7,6,5,6,6,5,6,6,5,5,4,2,4,4,5,5
test_user,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
test_user,5,6,7,6,5,6,6,7,5,6,5,6,2,4,5,6,7
test_user,6,7,6,7,7,6,7,7,7,5,7,6,1,2,4,4,5
test_user,7,7,5,7,7,7,7,7,7,7,7,7,4,3,6,5,7
test_user,5,6,4,6,6,5,6,7,6,4,5,6,2,2,3,3,4
test_user,7,7,5,7,6,7,5,7,7,7,7,7,2,3,7,2,5
test_user,6,2,6,5,5,5,5,5,4,4,3,6,3,4,5,3,5
test_user,7,7,7,7,7,7,7,7,7,7,7,6,3,3,5,5,6
test_user,4,2,3,4,4,4,3,5,5,4,6,4,5,1,4,4,5
test_user,4,4,6,3,5,5,5,5,7,6,6,5,2,2,3,2,4
test_user,5,5,4,4,4,6,6,5,5,6,6,4,4,4,5,3,6
test_user,7,6,7,6,7,5,7,7,6,4,4,5,4,1,6,1,5
test_user,7,7,5,5,7,7,5,6,6,7,5,7,2,3,6,2,6
test_user,5,5,7,5,6,4,3,5,3,3,6,3,5,5,5,2,5
test_user,6,7,7,5,7,6,7,6,6,5,5,6,3,1,5,3,6
test_user,7,7,6,6,6,6,6,7,6,6,7,6,2,4,6,5,6
test_user,6,7,6,6,6,6,6,6,5,6,6,6,1,3,5,6,7
end_user,6,4,7,4,7,7,7,7,6,6,6,6,1,1,6,2,5
end_user,5,6,4,4,7,7,7,7,7,6,7,6,1,1,2,3,5
end_user,7,7,7,6,6,7,7,7,6,7,6,7,5,5,4,5,7
end_user,7,6,6,6,6,7,6,7,7,4,6,5,3,3,5,6,5
end_user,6,7,7,6,7,7,7,7,7,6,7,6,1,1,5,4,6
end_user,6,7,4,6,5,7,6,7,7,7,5,7,2,3,3,5,7
end_user,6,5,7,6,7,6,7,6,7,6,4,7,5,5,7,6,6
end_user,6,5,6,6,6,7,6,6,7,6,5,5,4,5,6,5,6
end_user,7,6,6,6,7,7,6,7,7,6,5,7,1,1,3,2,6
end_user,6,5,5,6,4,6,5,6,5,6,3,5,2,4,5,4,5
end_user,7,6,7,6,7,7,7,7,6,7,6,6,6,6,6,5,6
end_user,6,5,5,6,6,5,6,6,5,6,3,5,4,4,4,5,5
end_user,7,6,6,6,7,7,7,7,6,5,3,4,4,1,7,5,2
end_user,7,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7
end_user,3,3,6,6,6,4,7,3,6,4,6,5,4,5,4,6,6
end_user,5,2,2,5,5,5,7,6,7,7,7,7,1,3,4,4,6
end_user,5,7,3,2,5,7,7,7,7,7,7,7,2,1,6,1,7
end_user,5,6,2,5,7,7,7,7,7,6,6,6,2,1,3,2,6
end_user,7,7,5,6,7,7,7,7,7,7,7,7,1,1,5,3,5
end_user,5,6,5,5,6,5,6,6,5,5,5,4,6,4,4,3,5
end_user,7,7,7,4,7,7,6,6,7,6,7,6,1,1,5,3,3
end_user,6,6,7,4,7,7,7,7,7,6,7,7,1,2,4,2,2
end_user,7,6,5,7,5,7,7,7,7,6,3,6,4,4,5,6,5
end_user,7,7,7,7,7,7,7,7,7,4,7,6,1,1,4,7,4
